community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:MRvgWm+54QC6m73d0HowXVO1PCI=,S0,,D,143.88.255.11,53888,8.8.4.4,53,false,false,0,,66,1,udp,,0,0,dns,1.730800800646468E9,CvFkVl18p8yYzc9Ll2,2024-11-05T10:00:00.646Z,none,none,False,none
1:qukMjzflu3csirM6aN6TvDCzNng=,S0,,D,143.88.255.11,54685,8.8.4.4,53,false,false,0,,72,1,udp,,0,0,dns,1.730800800613631E9,CthSZR2wwVhhppBFt6,2024-11-05T10:00:00.613Z,none,none,False,none
1:LPg6LtjnoQeEjJrSLO4ATl137+U=,SF,5.919933319091797E-4,Dd,143.88.0.2,6671,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800806877248E9,CjXH224PbtDdgb5bEb,2024-11-05T10:00:06.877Z,none,none,False,none
1:na8/6nCfyV3dj6BhC5FxBzVAPMI=,SF,0.0012989044189453125,Dd,143.88.0.18,33291,143.88.0.17,53,false,false,0,47,75,1,udp,47,75,1,dns,1.730800815036559E9,Ca14dY23CvMDp09qFc,2024-11-05T10:00:15.036Z,none,none,False,none
1:FA41iZnTHfRfU0YQ43NnPQPpVe0=,SF,0.001241922378540039,Dd,143.88.0.18,31206,143.88.0.17,53,false,false,0,43,71,1,udp,43,71,1,dns,1.730800815102201E9,CbHtIx11wJKxpKBlm6,2024-11-05T10:00:15.102Z,none,none,False,none
1:+EzDUwBn0q5q6kxTMSoPRngEn3A=,SF,0.0010690689086914062,Dd,143.88.0.2,42042,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800837055582E9,Cmipu135GSRg4LEqsa,2024-11-05T10:00:37.055Z,none,none,False,none
1:DbET6fM0lH9PX11KQDn99rKQ5tg=,S0,3.0388970375061035,S,143.88.15.11,51566,143.88.255.10,53,false,false,0,0,368,6,tcp,0,0,0,,1.730800870929579E9,CAVmOu1PSF21OloFif,2024-11-05T10:01:10.929Z,none,none,False,none
1:LhZZ+yqqyza1s0mdGMXPq8cl4UY=,SF,0.0013899803161621094,Dd,143.88.0.2,41533,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800867267399E9,CvPTOl3wiHoUaTPTT7,2024-11-05T10:01:07.267Z,none,none,False,none
1:AXfxlI/kOnG/y3/a9BvI6r2y60E=,S0,3.0415680408477783,S,143.88.13.13,46852,143.88.255.10,53,false,false,0,0,368,6,tcp,0,0,0,,1.730800878775177E9,CKZSQyXwVSwyIXmEk,2024-11-05T10:01:18.775Z,none,none,False,none
1:DP8n6wN7ikOT/v2Yp/ybvGcDOqg=,SF,0.0010900497436523438,Dd,143.88.0.18,20428,143.88.0.17,53,false,false,0,32,60,1,udp,32,60,1,dns,1.730800875538996E9,CeyWKy2OIHNwrlQKO7,2024-11-05T10:01:15.538Z,none,none,False,none
