community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:iWYxZt4L4nhDnYwfWzy5+F2G1o8=,SF,0.006303071975708008,ShAFaf,143.88.3.11,46305,143.88.4.13,4848,false,false,0,0,864,16,tcp,0,656,12,,1.709288997389379E9,CZlP6n1w1g5GCfyPHk,2024-03-01T10:29:57.389Z,Credential Access,T1110,True,none
1:sB9i9FCTuXsjWCgqBLjridNC+qs=,SF,0.007877111434936523,ShAFaf,143.88.14.11,45599,143.88.15.12,4848,false,false,0,0,864,16,tcp,0,656,12,,1.709283892658453E9,CAYgk29rXzwOHCBT,2024-03-01T09:04:52.658Z,Credential Access,T1110,True,none
1:z631BflTHncbaC8Xa26CyTSBl34=,SF,0.012582063674926758,ShAFaf,143.88.15.10,44581,143.88.1.19,4848,false,false,0,0,864,16,tcp,0,656,12,,1.709277443432016E9,C212hE26gJD9TaCkYi,2024-03-01T07:17:23.432Z,Credential Access,T1110,True,none
1:6ItrD8Gbp5bqQgvm8FOJoEvfC+Y=,SF,0.015909910202026367,ShADTdttFaf,143.88.14.11,37311,143.88.15.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709380579533879E9,CaK3bE3Ar5VtxgSbie,2024-03-02T11:56:19.533Z,Credential Access,T1110,True,none
1:mz+hhvoatCrsmp81Mrl6mDMS9vE=,SF,0.018058061599731445,ShADTdttFaf,143.88.3.11,40559,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709410264337564E9,C24w5WdFjAPemfhzl,2024-03-02T20:11:04.337Z,Credential Access,T1110,True,none
1:H6UlmGxn8/2X5ecScYpkYdjg7Io=,SF,0.018347978591918945,ShADTdttFaf,143.88.3.11,37107,143.88.4.13,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709404123372181E9,ClZgIU1JRy2JRBufE5,2024-03-02T18:28:43.372Z,Credential Access,T1110,True,none
1:G9azg0kA3dXrzgAnqc/xphO4tns=,SF,0.01847386360168457,ShADTdttFaf,143.88.14.11,36313,143.88.15.12,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709389630161271E9,CPHKaG3e1MNolwSHGl,2024-03-02T14:27:10.161Z,Credential Access,T1110,True,none
1:LTmP5e5EG6gZGIgeUmc0/pcdf7w=,SF,0.018513917922973633,ShADTdttFaf,143.88.14.11,33787,143.88.15.12,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.709419213801528E9,CBP7YM11h0j2rI9r69,2024-03-02T22:40:13.801Z,Credential Access,T1110,True,none
1:RWE8eh0TrqKC3yqkcqwrI1EBIhY=,SF,0.01871204376220703,ShADTdttFaf,143.88.3.11,42795,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709389831184886E9,CH2fvO1ZaxET1z5uCh,2024-03-02T14:30:31.184Z,Credential Access,T1110,True,none
1:skYU70q0fr+Dw9tFtBAQRUo7rjY=,SF,0.019257068634033203,ShADTdttFaf,143.88.7.11,36631,143.88.8.13,4848,false,false,0,686,5896,60,tcp,11329,47844,48,ssl,1.709420756343554E9,Ce24z41XQqJDvdQ4H,2024-03-02T23:05:56.343Z,Credential Access,T1110,True,none
1:8g/1eiIo3jwRDej8ZnFgZZ4AL48=,SF,0.019403934478759766,ShADTdttFaf,143.88.3.11,40387,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709410268922725E9,Ctabat2WczQ8gimUg4,2024-03-02T20:11:08.922Z,Credential Access,T1110,True,none
1:CI62MvSTIx021ek12fqM6M3DGdk=,SF,0.019525766372680664,ShADTdttFaf,143.88.2.17,38205,143.88.3.14,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.709404760262164E9,Cm8ks84qMrDOtNtqpc,2024-03-02T18:39:20.262Z,Credential Access,T1110,True,none
1:byIdX8FZYWdcDKwhp3cPVmj6xA8=,SF,0.019576072692871094,ShADTdttFaf,143.88.15.10,34871,143.88.1.19,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.709262842477741E9,COl9NJ1nb6qdcVEnn2,2024-03-01T03:14:02.477Z,Credential Access,T1110,True,none
1:36KyEirP2JT+Dv+OH8TAA05V4pg=,SF,0.019747018814086914,ShAFaf,143.88.7.11,41603,143.88.8.13,4848,false,false,0,0,864,16,tcp,0,656,12,,1.709266420165953E9,CSH7xpQ2WioZgDS7d,2024-03-01T04:13:40.165Z,Credential Access,T1110,True,none
1:BQD9ynTBI1m0GGmCUp97i59HU2g=,SF,0.019854068756103516,ShADTdttFaf,143.88.3.11,36041,143.88.4.13,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.709418428787837E9,C3j9KI27FLue7Pooca,2024-03-02T22:27:08.787Z,Credential Access,T1110,True,none
1:or/gVjw5wS2lkJwQfo7M+nXVVG4=,SF,0.019993066787719727,ShADTdttFaf,143.88.5.14,43245,143.88.6.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709410235944079E9,CBUsh4bZ7u6fJktpg,2024-03-02T20:10:35.944Z,Credential Access,T1110,True,none
1:l0JEMO6yeXK2pmadO0XbpeWZsyk=,SF,0.020127058029174805,ShADTdttFaf,143.88.7.11,44133,143.88.8.13,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709412622738419E9,CcH33S3bIu8eVbbEq3,2024-03-02T20:50:22.738Z,Credential Access,T1110,True,none
1:sBQ80e6E+ISjfz3VBheXR1PLsKg=,SF,0.02035808563232422,ShADTdttFaf,143.88.8.12,39101,143.88.9.10,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.70941985491925E9,CdZvMn3PrIwwpsGcqj,2024-03-02T22:50:54.919Z,Credential Access,T1110,True,none
1:2tF3Vm67wZDbQuSvR85tqqXRONc=,SF,0.020371198654174805,ShADTdttFaf,143.88.2.17,42529,143.88.3.14,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709380631231984E9,C9fOBmVH0A3LIpeNa,2024-03-02T11:57:11.231Z,Credential Access,T1110,True,none
1:GYDxtF56qw3I6rnJS4kupKZgEC0=,SF,0.020591020584106445,ShADTdttFaf,143.88.5.14,38535,143.88.6.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709401290801392E9,Cthgsy3JuUgBH7o9kh,2024-03-02T17:41:30.801Z,Credential Access,T1110,True,none
1:nR/K1C697OeyZcqwP3NrNQDal1k=,SF,0.0212249755859375,ShADTdttFaf,143.88.12.12,42095,143.88.13.10,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709111054305007E9,CTM1pr265aNQV946T,2024-02-28T09:04:14.305Z,Credential Access,T1110,True,none
1:WAgdIIpfMWr/xC/jbZfeKFFX5qo=,SF,0.02137279510498047,ShADTdttFaf,143.88.3.11,37463,143.88.4.13,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.70940610896567E9,CbwoSj1hTE7hdKRoY,2024-03-02T19:01:48.965Z,Credential Access,T1110,True,none
1:sgWaId7da33ElEmHbRh4CWL7u6I=,SF,0.02147197723388672,ShADTdttFaf,143.88.5.14,39755,143.88.6.13,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709198745061918E9,CtvSRB2HAKQmzTA3E,2024-02-29T09:25:45.061Z,Credential Access,T1110,True,none
1:z//lLCCvWaraZkz2jrtLIV36Jxw=,SF,0.021502017974853516,ShADTdttFaf,143.88.14.11,46711,143.88.15.12,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.709408157816456E9,CEW13F4xaYG8vxK9X5,2024-03-02T19:35:57.816Z,Credential Access,T1110,True,none
1:G9DzqtCVe7dvzPMryXccUcKl+Yk=,SF,0.02201700210571289,ShADTdttFaf,143.88.3.11,42565,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709404125707176E9,CMbeGT2lKO2wJfF0Ra,2024-03-02T18:28:45.707Z,Credential Access,T1110,True,none
1:t/CjnC6gTsAEDPrSIGanGayp8ks=,SF,0.022588014602661133,ShADTdttFaf,143.88.13.12,41953,143.88.14.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709408783886335E9,CR1Lox4OL3tjPZDqX7,2024-03-02T19:46:23.886Z,Credential Access,T1110,True,none
1:I/M/79GCYVx1oKQGICk9Tpn6Xlk=,SF,0.022676944732666016,ShADTdttFaf,143.88.5.14,40883,143.88.6.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709249189613528E9,CxnUtp22eyEKVYYAgd,2024-02-29T23:26:29.613Z,Credential Access,T1110,True,none
1:lijJt7UtMgPueg2rUWcyhTmdXY8=,SF,0.02282118797302246,ShADTdttFaf,143.88.4.11,43193,143.88.5.12,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709415314787505E9,CmGrQ01h1mEYNmSoX4,2024-03-02T21:35:14.787Z,Credential Access,T1110,True,none
1:8vI7CLjX28zC4U7duHneV6VjKXY=,SF,0.0229489803314209,ShADTdttFaf,143.88.7.11,37939,143.88.8.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709147993674309E9,CwIs6Zp0I7E5lJyL8,2024-02-28T19:19:53.674Z,Credential Access,T1110,True,none
1:DQCdUWuGvciXah8hqR/ABFXlTg0=,SF,0.023005962371826172,ShADTdttFaf,143.88.14.11,38733,143.88.15.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709408159629153E9,Cjl2Tf1dijauQKQXx1,2024-03-02T19:35:59.629Z,Credential Access,T1110,True,none
1:hOMdc3joTphZ6LAMVZP2JMOzews=,SF,0.023030996322631836,ShADTdttFaf,143.88.1.18,46165,143.88.2.20,4848,false,false,0,686,5272,48,tcp,11329,47844,48,ssl,1.709358421278068E9,CUnhui1q76TavDHdee,2024-03-02T05:47:01.278Z,Credential Access,T1110,True,none
1:tPhnWGs4MLWcxnN+TVuPcF9cu+c=,SF,0.023040056228637695,ShADTdttFaf,143.88.14.11,33905,143.88.15.12,4848,false,false,0,686,5688,56,tcp,11329,47844,48,ssl,1.709288581634834E9,CQm20D2spmPWYcpGse,2024-03-01T10:23:01.634Z,Credential Access,T1110,True,none
1:oNx+MwtPVLnZh5tLvqqXExOL2dc=,SF,0.02308201789855957,ShADTdttFaf,143.88.7.11,37351,143.88.8.13,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709402162149789E9,ClDTnF3GuZJDkI2znk,2024-03-02T17:56:02.149Z,Credential Access,T1110,True,none
1:itUoKFUHtv5DufFbpcMsIHvcI3o=,SF,0.02328205108642578,ShADTdttFaf,143.88.4.11,36217,143.88.5.12,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709399206017012E9,Cyn546oBWMYo4YHQ5,2024-03-02T17:06:46.017Z,Credential Access,T1110,True,none
1:uZsQGd92zo8zoo2RsFZGuMW8l6g=,SF,0.023345947265625,ShADTdttFaf,143.88.3.11,38387,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709418425081506E9,CmWAnXIbQBvHCVOck,2024-03-02T22:27:05.081Z,Credential Access,T1110,True,none
1:mGI+OGWYT6MXPrBbt0zaJo8vItA=,SF,0.023453950881958008,ShADTdttFaf,143.88.7.11,44223,143.88.8.13,4848,false,false,0,686,5480,52,tcp,11329,47844,48,ssl,1.709419434163367E9,CS1Knq3byuTuEM89Yf,2024-03-02T22:43:54.163Z,Credential Access,T1110,True,none
1:GHOxwEkMnsbbO8c2NWDYGX4DJV4=,SF,0.02353191375732422,ShADTdttFaf,143.88.14.11,43529,143.88.15.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.7092589707385E9,CTUAZ330Iu1Sl0IeP3,2024-03-01T02:09:30.738Z,Credential Access,T1110,True,none
1:/th61+nJwghqbVP2Zp/5QzqOMrA=,SF,0.0235750675201416,ShADTdttFaf,143.88.4.11,34731,143.88.5.12,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709251078218364E9,CMbQ9r4cX2FuCHAi0l,2024-02-29T23:57:58.218Z,Credential Access,T1110,True,none
1:GmwxcjzLSBCfaR7dn6pqo1Cuo1g=,SF,0.02376699447631836,ShADTdttFaf,143.88.8.12,35027,143.88.9.10,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.70912207527683E9,CAg0Ju389sCGORWNVl,2024-02-28T12:07:55.276Z,Credential Access,T1110,True,none
1:80Itxfol8OTd6HQr19gBQmhgZpA=,SF,0.023820161819458008,ShADTdttFaf,143.88.7.11,39815,143.88.8.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.70941333927258E9,Cx2bir13O5egla8CX8,2024-03-02T21:02:19.272Z,Credential Access,T1110,True,none
1:DWc1Eqw2pA/bmsx4qAmU2gju0Jo=,SF,0.02391195297241211,ShADTdttFaf,143.88.5.14,37869,143.88.6.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709208692253516E9,C2Fk913X8AlP9vPmYh,2024-02-29T12:11:32.253Z,Credential Access,T1110,True,none
1:Lf7Lp37PmAA5VfDqQbMPfFDmwkU=,SF,0.023947954177856445,ShADTdttFaf,143.88.6.11,44685,143.88.7.14,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.70940433637272E9,CTMuR52zvD3E2uOVeb,2024-03-02T18:32:16.372Z,Credential Access,T1110,True,none
1:hHxJlKFrMqpZLsY3YqJYvUkJUiA=,SF,0.02403402328491211,ShADTdttFaf,143.88.2.17,41767,143.88.3.14,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709108443458698E9,CLJjsmHkRYlpfuJV7,2024-02-28T08:20:43.458Z,Credential Access,T1110,True,none
1:7xujZn1T1yIY776yHV87M2LOkPY=,SF,0.024204015731811523,ShADTdttFaf,143.88.2.17,33499,143.88.3.14,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709238531360589E9,CMqXfSTK3SJtO1lx9,2024-02-29T20:28:51.360Z,Credential Access,T1110,True,none
1:6IsS+D95u1L87Vk/yX2F7kQJ1zw=,SF,0.02420806884765625,ShADTdttFaf,143.88.7.11,33247,143.88.8.13,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709283521284922E9,C96Rq92RFU63SM4Fpd,2024-03-01T08:58:41.284Z,Credential Access,T1110,True,none
1:/8r9dXRqHD1OBmuJXA0o47CMq68=,SF,0.024239063262939453,ShADTdttFaf,143.88.3.11,37799,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709406096282554E9,C5Sc5E3D5BT0cZRmZ9,2024-03-02T19:01:36.282Z,Credential Access,T1110,True,none
1:psIBbGwTZFWPJDDaD9vTC0yeGvk=,SF,0.024317026138305664,ShADTdttFaf,143.88.15.10,46313,143.88.1.19,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709217228194976E9,CX1IOA311ufMDcB5W7,2024-02-29T14:33:48.194Z,Credential Access,T1110,True,none
1:KKlUPoR14mg9H6deQ8Vm0jz0xsk=,SF,0.024319887161254883,ShADTdttFaf,143.88.7.11,35707,143.88.8.13,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.70934604667557E9,C7Wk9d14miExRiQ1Cd,2024-03-02T02:20:46.675Z,Credential Access,T1110,True,none
1:E/A8apitfZZWmkSOSm1nDQUK8EA=,SF,0.02435302734375,ShADTdttFaf,143.88.4.11,36569,143.88.5.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709394290752341E9,CRMHgM1XQwBble15Za,2024-03-02T15:44:50.752Z,Credential Access,T1110,True,none
1:NL6wq/obtIln34iD0I8KMiTzJuc=,SF,0.024365901947021484,ShADTdttFaf,143.88.4.11,37531,143.88.5.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.709253828684091E9,COyGwS3GU5xbnKBJSi,2024-03-01T00:43:48.684Z,Credential Access,T1110,True,none
1:yX+c/f+WR4g3jkMrIORG4fBhx8g=,SF,0.024377822875976562,ShADTdttFaf,143.88.3.11,34135,143.88.4.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709392498890654E9,CS1CnflilCsT5teG,2024-03-02T15:14:58.890Z,Credential Access,T1110,True,none
1:RB+74VL1YAGX599CUWO9nay+s6M=,SF,0.02448296546936035,ShADTdttFaf,143.88.8.12,42571,143.88.9.10,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709220932311435E9,Cp983zWvnKyiEDeGb,2024-02-29T15:35:32.311Z,Credential Access,T1110,True,none
1:xQDbw3IJidVmtQPerZSlNefyuNg=,SF,0.024491071701049805,ShADTdttFaf,143.88.4.11,34359,143.88.5.12,4848,false,false,0,686,4856,40,tcp,11329,47844,48,ssl,1.70918500198013E9,C8C8ceB9H4rx9R1la,2024-02-29T05:36:41.980Z,Credential Access,T1110,True,none
1:5PEKGjf/ZhB8icAYmphS5rc8S1M=,SF,0.024583101272583008,ShADTdttFaf,143.88.5.14,44349,143.88.6.13,4848,false,false,0,686,5064,44,tcp,11329,47844,48,ssl,1.709380121309594E9,C8S9nt2U972rK4DTE6,2024-03-02T11:48:41.309Z,Credential Access,T1110,True,none
