community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:LPg6LtjnoQeEjJrSLO4ATl137+U=,SF,5.919933319091797E-4,Dd,143.88.0.2,6671,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800806877248E9,CjXH224PbtDdgb5bEb,2024-11-05T10:00:06.877Z,none,none,False,none
1:na8/6nCfyV3dj6BhC5FxBzVAPMI=,SF,0.0012989044189453125,Dd,143.88.0.18,33291,143.88.0.17,53,false,false,0,47,75,1,udp,47,75,1,dns,1.730800815036559E9,Ca14dY23CvMDp09qFc,2024-11-05T10:00:15.036Z,none,none,False,none
1:FA41iZnTHfRfU0YQ43NnPQPpVe0=,SF,0.001241922378540039,Dd,143.88.0.18,31206,143.88.0.17,53,false,false,0,43,71,1,udp,43,71,1,dns,1.730800815102201E9,CbHtIx11wJKxpKBlm6,2024-11-05T10:00:15.102Z,none,none,False,none
1:+EzDUwBn0q5q6kxTMSoPRngEn3A=,SF,0.0010690689086914062,Dd,143.88.0.2,42042,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800837055582E9,Cmipu135GSRg4LEqsa,2024-11-05T10:00:37.055Z,none,none,False,none
1:LhZZ+yqqyza1s0mdGMXPq8cl4UY=,SF,0.0013899803161621094,Dd,143.88.0.2,41533,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800867267399E9,CvPTOl3wiHoUaTPTT7,2024-11-05T10:01:07.267Z,none,none,False,none
1:DP8n6wN7ikOT/v2Yp/ybvGcDOqg=,SF,0.0010900497436523438,Dd,143.88.0.18,20428,143.88.0.17,53,false,false,0,32,60,1,udp,32,60,1,dns,1.730800875538996E9,CeyWKy2OIHNwrlQKO7,2024-11-05T10:01:15.538Z,none,none,False,none
1:JHdwbnWRvdXAK56glevmZFooM0A=,SF,5.910396575927734E-4,Dd,143.88.0.2,65533,143.88.0.1,53,false,false,0,32,60,1,udp,32,60,1,dns,1.730800897617933E9,Cpe8ug2QlAhOqULID9,2024-11-05T10:01:37.617Z,none,none,False,none
1:aHCmO4Xbn/GIFMoRrGm6dGboRBI=,SF,0.004024982452392578,Dd,143.88.1.22,46643,143.88.1.1,53,false,false,0,118,202,3,udp,118,202,3,dns,1.730800897562125E9,Cn8zFK1kL7qmj8D5Gf,2024-11-05T10:01:37.562Z,none,none,False,none
1:Uw5E1PZLCEIUprrJb+/FdzdpdTw=,SF,9.310245513916016E-4,Dd,143.88.0.2,52425,143.88.0.1,53,false,false,0,43,71,1,udp,43,71,1,dns,1.730800897620355E9,CHAXCf4mgzK9cBnhQ6,2024-11-05T10:01:37.620Z,none,none,False,none
1:qQzqvLN18qa0Q0U5YSRwoRc8b7s=,SF,9.379386901855469E-4,Dd,143.88.0.18,50425,143.88.0.17,53,false,false,0,43,71,1,udp,43,71,1,dns,1.730800905892796E9,CYSyhX1dKjc4fB4Hn4,2024-11-05T10:01:45.892Z,none,none,False,none
1:lxXz3YlcbsN1RiQ8sfImfzoVIOw=,S0,5.005482912063599,D,143.88.10.13,34039,143.88.255.10,53,false,false,0,128,240,4,udp,0,0,0,dns,1.730800915518476E9,C2hNdd2S7nETbFCJPj,2024-11-05T10:01:55.518Z,none,none,False,none
1:n4rzk8huB6RFbOYAVnkRTA05/7c=,SF,0.0010900497436523438,Dd,143.88.0.18,27992,143.88.0.17,53,false,false,0,32,60,1,udp,32,60,1,dns,1.73080093613569E9,C98qrLlPzztXOcVlh,2024-11-05T10:02:16.135Z,none,none,False,none
1:YgmKTgmiPvsrg0jVgA177+VUwgo=,SF,0.0020608901977539062,Dd,143.88.0.18,8713,143.88.0.17,53,false,false,0,32,60,1,udp,32,60,1,dns,1.730800935995048E9,CfLooS1Qq1Kuy61MEg,2024-11-05T10:02:15.995Z,none,none,False,none
1:7PicbX1bHiH9ArkSye6OGoNVtqA=,SF,6.959438323974609E-4,Dd,143.88.0.18,5335,143.88.0.17,53,false,false,0,47,75,1,udp,47,75,1,dns,1.730800936166032E9,CH6Do23piYr1prHuZ9,2024-11-05T10:02:16.166Z,none,none,False,none
1:gzaF1ZfaKlZcOlSOaTJUEBw6aMQ=,S0,6.079673767089844E-4,D,143.88.13.13,43117,143.88.255.10,53,false,false,0,64,120,2,udp,0,0,0,dns,1.730800953850482E9,C7dPjm4Bx8y2xaCvx,2024-11-05T10:02:33.850Z,none,none,False,none
1:96tefOlh+mKw0sEzAd6pqTYw/9w=,SF,0.0038068294525146484,Dd,143.88.1.22,51073,143.88.1.1,53,false,false,0,163,247,3,udp,163,247,3,dns,1.730800958081958E9,CIsBkJ2ynVCrKNyw9b,2024-11-05T10:02:38.081Z,none,none,False,none
1:oIQC7LFK7n//MWIfVWCoYtMv0UY=,SF,0.0010418891906738281,Dd,143.88.0.2,13933,143.88.0.1,53,false,false,0,58,86,1,udp,58,86,1,dns,1.730800988360645E9,CDtdY64tk5BKN9Zoy4,2024-11-05T10:03:08.360Z,none,none,False,none
1:FyGGRPzBAX+5UslCFxXWdU1Mh/0=,SF,0.0011839866638183594,Dd,143.88.0.38,123,143.88.255.1,123,false,false,0,48,76,1,udp,48,76,1,ntp,1.730800949687956E9,C2vzYl4yoIQBhK0Hai,2024-11-05T10:02:29.687Z,none,none,False,none
